Comments,objectid,barcode_id,RunId_12SVert,RunId_trnL,DateRun,DateFirstAnalyzed,Reads_12SVert,ESVs_12SVert,Reads_trnL,ESVs_trnL,country,name_of_park,location,location_other,date,year,time,latitude,longitude,habitat_final,habitat,habitat_other,has_it_rained_in_the_past_week,sample_type,species_id,species_id_dna,species_id_dna_common,species_id_other,faecal_age,faecal_age_other,faecal_texture,species_sex,species_age,latrine,swab,swab_barcode_id,collector,notes,kafue_section,znp_written_ID,znp_assumption
,2903,S080915,JV328,JV328,2025-04-02 00:00:00,,17178,2,28857,43,angola,iona,park,,2024-08-21 00:00:00,2024,0.59097222222222223,-16.53753382,12.36934582,shrubland,riverine,,no,faecal,springbok,Antidorcas marsupialis,Springbok,,1-2_days,,hard,male,unknown,yes,no,,MD,,,,
,729,S080916,JV328,JV327,2025-04-02 00:00:00,,19832,1,93191,29,angola,iona,park,,2024-07-15 00:00:00,2024,0.34583333333333333,-16.81337893,12.35501178,desert_grassplain,grassland,,no,faecal,oryx,Oryx gazella,Gemsbok,,1-2_days,,hard,unknown,unknown,no,no,,SC,,,,
,1455,S080919,JV328,JV328,2025-04-02 00:00:00,,15036,1,37448,25,angola,iona,park,,2024-08-14 00:00:00,2024,0.31319444444444444,-16.95797218,12.25329419,desert_gravelplain,desert_gravelplain,Gravel plain,no,faecal,cow,Bos taurus,Domestic Cow,,<24hr,,soft,unknown,unknown,no,no,,MD,,,,
,2909,S080923,JV328,JV328,2025-04-02 00:00:00,,17703,1,28056,41,angola,iona,park,,2024-08-21 00:00:00,2024,0.67152777777777772,-16.47824496,12.24336569,desert_gravelplain,desert_gravelplain,Gravelplain,no,faecal,springbok,Antidorcas marsupialis,Springbok,,1-2_days,,hard,unknown,unknown,no,no,,MIC,,,,
,3470,S080930,JV328,JV328,2025-04-02 00:00:00,,11088,1,28590,10,angola,iona,park,,2024-09-04 00:00:00,2024,0.36041666666666666,-17.05665835,12.08167235,desert_dunes,"desert,other",Dunes,no,faecal,oryx,Oryx gazella,Gemsbok,,1-2_days,,hard,unknown,unknown,no,no,,EN,,,,
,2997,S080939,JV328,JV328,2025-04-02 00:00:00,,18446,1,27625,4,angola,iona,park,,2024-08-22 00:00:00,2024,0.35902777777777778,-16.56811226,12.23750235,shrubland,shrubland,Shrubland,no,faecal,cheetah,Acinonyx jubatus,Cheetah,,3-7_days,,diarrhea,unknown,unknown,yes,yes,INP202408S59,Md,INP202408S59,,,
,737,S080941,JV328,JV327,2025-04-02 00:00:00,,16993,2,87777,28,angola,iona,park,,2024-07-15 00:00:00,2024,0.62430555555555556,-16.8743278,12.18419929,desert_gravelplain,"other,desert",Gravel,no,faecal,oryx,Oryx gazella,Gemsbok,,1-2_days,,hard,unknown,adult,no,no,,JM,,,,
,2899,S080943,JV328,JV327,2025-04-02 00:00:00,,12174,3,68484,53,angola,iona,park,,2024-08-21 00:00:00,2024,0.61597222222222225,-16.52961763,12.34281068,shrubland,riverine,,no,faecal,oryx,Oryx gazella,Gemsbok,,1-2_days,,hard,unknown,unknown,no,no,,Md,,,,
,2894,S080948,JV328,JV328,2025-04-02 00:00:00,,14264,1,39087,40,angola,iona,park,,2024-08-21 00:00:00,2024,0.59583333333333333,-16.53568736,12.36796986,shrubland,shrubland,Shrubland,no,faecal,giraffe,Giraffa camelopardalis angolensis,Angolan giraffe,,1-2_days,,hard,unknown,unknown,no,no,,Mc,,,,
,728,S080952,JV328,JV327,2025-04-02 00:00:00,,14330,1,50083,28,angola,iona,park,,2024-07-15 00:00:00,2024,0.31041666666666667,-16.78837676,12.36165661,desert_gravelplain,desert_gravelplain,Gravel plain,no,faecal,springbok,Antidorcas marsupialis,Springbok,,<24hr,,soft,unknown,unknown,no,no,,JM,,,,
,3475,S080960,JV328,JV328,2025-04-02 00:00:00,,16201,2,29754,16,angola,iona,park,,2024-09-04 00:00:00,2024,0.32916666666666666,-17.13908497,12.00139217,desert_gravelplain,desert_gravelplain,Gravelplain,no,faecal,oryx,Oryx gazella,Gemsbok,,<24hr,,soft,unknown,unknown,no,no,,MIC,,,,
,3598,S080961,JV328,JV327,2025-04-02 00:00:00,,20297,1,99178,65,angola,iona,control,,2024-09-05 00:00:00,2024,0.48749999999999999,-15.77465414,12.34059108,shrubland,shrubland,Shrubland,no,faecal,cow,Bos taurus,Domestic Cow,,<24hr,,soft,unknown,unknown,no,no,,MD,,,,
,3539,S080972,JV328,JV328,2025-04-02 00:00:00,,13599,3,33581,70,angola,iona,park,,2024-09-05 00:00:00,2024,0.39513888888888887,-16.01732424,12.5151126,shrubland,shrubland,Shrubland,no,faecal,donkey,Equus asinus,Donkey,,<24hr,,soft,unknown,unknown,no,no,,Mic,,,,
